player1_id,player2_id,h2h
105683,104468,1
106233,105332,1
105676,103333,1
105777,104755,2
104797,105807,1
104999,104918,1
103819,105453,1
104527,104312,1
104542,105554,1
104745,104792,1
105683,105138,1
105676,106233,3
105777,104797,2
103819,104999,3
104527,104542,1
105777,105676,3
103819,104527,2
104745,105777,3
103819,104745,4
111797,105497,1
106426,106232,1
144642,144773,1
111797,200572,1
105311,200075,1
105671,104534,1
106393,131951,1
105155,200075,1
106026,110686,1
106368,104907,1
106368,110686,1
106026,104907,1
105877,122669,1
105933,105273,1
105933,122669,1
105271,122635,1
105806,111794,1
106000,128034,1
106000,111794,1
105493,128034,1
104494,125802,1
106078,105657,1
105657,125802,1
106078,104494,1
111202,122109,1
104797,117353,1
104797,126952,1
105373,105226,1
105916,106075,1
105916,105373,1
106175,132040,1
105334,106180,1
106175,132028,1
105467,132040,1
137018,104656,1
105985,200621,1
105985,137018,1
200621,108786,1
105156,108763,1
105656,106198,1
105656,105156,1
123965,108763,1
105707,105132,1
144750,104901,1
144750,144940,1
104901,105707,1
105932,144814,1
105349,106106,1
105932,200325,1
106106,126609,1
105812,202165,1
104604,105177,1
104604,105812,1
202165,200045,1
127143,104895,1
103600,106397,1
106397,104895,1
105827,145003,1
105182,126689,1
105827,105182,1
200272,202219,1
104233,144760,1
105149,126526,1
104233,105149,1
126526,105250,1
108739,106250,1
105688,105499,1
105499,126204,1
104882,200031,1
104813,106033,1
104813,200031,1
103531,105798,1
134770,106342,1
126340,108761,1
202382,144854,1
126340,123915,1
103499,105566,1
103529,103875,1
106085,120792,1
105566,108782,1
104291,106035,1
105113,144826,1
104291,105113,1
106035,144826,1
117356,117365,1
104947,144949,1
104947,117365,1
123795,123315,1
138846,106392,1
122533,124023,1
122533,138846,1
104816,106392,1
103893,105550,1
104312,104122,1
104122,103893,1
104926,105550,0
104327,104259,1
100644,105963,1
104327,100644,0
105074,104999,1
105554,133430,1
105577,106378,1
105577,105554,1
106378,133430,-1
111442,106210,1
106401,105596,1
106210,105032,1
111442,105596,1
105015,105807,1
105138,105302,1
105138,105015,1
105807,105254,1
104755,106121,1
104468,106415,1
103917,106415,1
106034,105732,1
104678,111575,2
104925,106421,2
105583,104505,1
106421,102800,1
106058,103843,1
104545,105967,1
105023,104847,1
105449,134472,1
105732,123921,1
106421,104735,1
104269,106296,1
105379,106432,1
103908,104672,1
104871,104719,1
104932,104999,0
105011,111460,1
104291,106137,1
103852,103898,1
105332,111575,1
104460,104198,0
104542,105732,1
106421,104269,1
100644,105379,2
104871,103908,1
104932,105011,1
104755,104291,1
105332,103852,1
104460,105227,1
104542,106421,1
100644,104871,2
104755,104932,1
105332,104460,1
100644,104542,0
104755,105332,2
100644,104755,3
104268,105561,1
106148,104297,1
104117,106329,1
105051,106006,1
106044,105819,1
104330,105238,1
105952,105877,1
105053,103794,1
104386,104593,1
105589,104547,1
105943,105154,1
103607,105413,1
105077,104268,1
106148,104117,1
103893,105051,1
104330,106044,1
105952,105053,1
105064,104386,1
105943,105589,1
103607,103333,1
105077,106148,1
103893,104330,1
105064,105952,1
103607,105943,1
103893,105077,1
103607,105064,1
103607,103893,1
105430,200247,1
104312,106000,1
104327,109739,1
105649,104559,1
104022,106311,1
104180,106288,1
104678,117356,1
104898,106220,1
105668,104534,1
104978,103843,1
105932,105173,1
105676,105430,2
105138,105649,1
104180,104022,1
104678,104898,1
105777,105668,1
105373,104978,1
105932,106233,1
105676,104327,2
105138,104180,1
105777,104678,1
105932,105373,1
105676,105138,1
105777,105932,1
105238,104386,1
105819,105952,1
105589,103893,1
105561,104297,3
104919,105671,1
105077,105550,2
103990,104926,0
106329,103607,1
104122,106075,1
105311,104547,0
105643,103565,1
106043,105487,1
105238,104655,1
105589,105819,1
105807,105561,1
105077,104919,0
106329,103990,1
104122,103970,1
105311,105643,2
105453,106043,2
105238,105589,1
105807,105077,0
104122,106329,2
105453,105311,1
105238,105807,0
105453,104122,1
105238,105453,1
106415,104198,1
124187,111577,1
105385,105173,1
105992,104505,1
106000,104731,1
104327,105430,1
105985,106071,1
105062,103794,1
105065,126207,1
126203,104229,1
105051,105166,1
104545,106415,1
105385,124187,1
105992,105023,1
106000,104327,2
105062,105985,1
105449,105065,1
105051,126203,1
105932,103333,1
